Hours	De-Aar	Pretoria	Springbok	Upington
0	1134	1093	1141	1154
1	1132	1090	1141	1154
2	1131	1079	1141	1153
3	1131	1076	1141	1153
4	1131	1076	1141	1153
5	1129	1075	1141	1152
6	1129	1075	1141	1152
7	1125	1074	1141	1152
8	1125	1073	1141	1151
9	1124	1070	1141	1151
10	1123	1062	1141	1151
11	1123	1062	1140	1150
12	1123	1061	1140	1148
13	1122	1056	1139	1146
14	1122	1054	1139	1146
15	1122	1053	1139	1145
16	1121	1050	1138	1143
17	1120	1050	1137	1140
18	1119	1049	1137	1140
19	1119	1049	1136	1139
20	1119	1048	1136	1139
21	1118	1048	1136	1139
22	1118	1047	1136	1139
23	1118	1046	1136	1139
24	1117	1045	1135	1139
25	1114	1045	1135	1139
26	1114	1044	1135	1139
27	1113	1044	1135	1139
28	1113	1044	1135	1139
29	1113	1042	1135	1139
30	1113	1041	1135	1138
31	1112	1041	1135	1138
32	1112	1040	1135	1138
33	1111	1039	1134	1136
34	1110	1038	1134	1136
35	1110	1038	1134	1136
36	1110	1038	1134	1135
37	1110	1037	1133	1135
38	1110	1037	1133	1135
39	1109	1036	1133	1135
40	1109	1036	1130	1135
41	1108	1036	1129	1135
42	1108	1035	1129	1134
43	1108	1035	1128	1134
44	1107	1035	1128	1134
45	1107	1034	1127	1133
46	1107	1033	1127	1133
47	1106	1032	1127	1132
48	1106	1032	1127	1131
49	1105	1031	1127	1131
50	1104	1030	1126	1131
51	1103	1030	1126	1131
52	1103	1030	1126	1130
53	1103	1028	1126	1129
54	1103	1027	1126	1129
55	1103	1027	1125	1127
56	1102	1025	1125	1127
57	1102	1019	1125	1127
58	1102	1018	1124	1126
59	1101	1017	1124	1126
60	1101	1017	1124	1126
61	1101	1016	1124	1126
62	1100	1015	1123	1126
63	1100	1014	1123	1125
64	1099	1012	1123	1125
65	1099	1012	1122	1125
66	1099	1011	1122	1125
67	1098	1011	1122	1125
68	1098	1011	1122	1125
69	1097	1010	1122	1124
70	1096	1010	1122	1124
71	1096	1009	1122	1124
72	1095	1009	1122	1123
73	1095	1009	1121	1123
74	1095	1008	1121	1122
75	1094	1007	1121	1122
76	1093	1007	1121	1120
77	1093	1006	1121	1120
78	1093	1006	1121	1119
79	1093	1006	1121	1119
80	1093	1005	1121	1119
81	1092	1005	1121	1118
82	1092	1005	1120	1116
83	1092	1004	1120	1114
84	1092	1004	1120	1113
85	1091	1003	1120	1112
86	1091	1002	1120	1112
87	1091	1001	1120	1112
88	1091	1001	1120	1112
89	1091	1001	1120	1111
90	1091	1000	1120	1110
91	1091	998	1120	1110
92	1090	998	1120	1110
93	1090	998	1119	1109
94	1090	997	1119	1109
95	1089	996	1119	1108
96	1089	995	1119	1107
97	1088	994	1119	1106
98	1087	993	1119	1106
99	1087	993	1118	1105
100	1087	992	1118	1104
101	1087	992	1118	1104
102	1086	992	1118	1104
103	1086	991	1118	1103
104	1086	991	1118	1103
105	1085	991	1117	1103
106	1085	990	1117	1102
107	1085	990	1117	1102
108	1084	990	1116	1100
109	1084	989	1116	1100
110	1083	988	1115	1100
111	1083	988	1115	1099
112	1083	988	1115	1097
113	1082	987	1115	1097
114	1082	987	1114	1096
115	1082	986	1114	1096
116	1082	986	1114	1096
117	1082	985	1114	1094
118	1081	985	1114	1094
119	1081	985	1114	1094
120	1080	983	1113	1094
121	1080	983	1113	1094
122	1080	982	1113	1093
123	1080	982	1113	1093
124	1080	981	1112	1093
125	1079	981	1112	1092
126	1079	981	1112	1092
127	1079	980	1112	1092
128	1078	980	1110	1091
129	1078	980	1110	1091
130	1077	979	1109	1091
131	1077	979	1109	1091
132	1077	979	1108	1091
133	1077	978	1108	1091
134	1077	977	1108	1091
135	1077	977	1108	1090
136	1076	977	1107	1090
137	1076	976	1107	1090
138	1076	975	1107	1090
139	1075	975	1107	1089
140	1074	974	1106	1089
141	1073	974	1106	1089
142	1073	973	1105	1089
143	1073	972	1105	1089
144	1072	972	1105	1089
145	1072	972	1105	1088
146	1071	972	1104	1088
147	1071	972	1104	1088
148	1070	972	1104	1087
149	1070	972	1103	1087
150	1070	972	1103	1087
151	1070	971	1103	1087
152	1069	971	1103	1087
153	1068	971	1103	1085
154	1068	971	1103	1085
155	1068	970	1103	1085
156	1068	970	1103	1085
157	1068	969	1103	1084
158	1067	969	1102	1084
159	1066	968	1102	1084
160	1066	968	1102	1083
161	1066	968	1102	1083
162	1065	968	1101	1083
163	1065	967	1101	1083
164	1064	967	1101	1083
165	1064	967	1101	1083
166	1064	965	1101	1082
167	1063	965	1100	1082
168	1062	964	1100	1082
169	1062	964	1100	1081
170	1062	963	1100	1081
171	1061	963	1100	1081
172	1061	963	1100	1081
173	1061	962	1100	1081
174	1060	962	1100	1081
175	1060	962	1100	1081
176	1060	961	1100	1080
177	1060	961	1099	1080
178	1060	961	1099	1080
179	1059	961	1099	1079
180	1059	961	1099	1079
181	1058	960	1098	1079
182	1058	959	1098	1079
183	1058	959	1098	1079
184	1056	959	1098	1079
185	1056	959	1098	1079
186	1056	958	1097	1079
187	1056	958	1097	1078
188	1055	957	1097	1078
189	1055	957	1097	1078
190	1054	956	1097	1078
191	1054	956	1097	1078
192	1053	954	1096	1077
193	1052	953	1096	1077
194	1052	953	1096	1077
195	1052	952	1096	1077
196	1051	952	1096	1076
197	1050	950	1095	1076
198	1050	949	1095	1076
199	1050	949	1095	1075
200	1049	948	1095	1075
201	1049	948	1094	1074
202	1048	947	1094	1074
203	1048	947	1094	1074
204	1048	947	1093	1073
205	1047	947	1092	1072
206	1047	946	1092	1072
207	1047	945	1092	1072
208	1047	944	1092	1072
209	1047	944	1092	1072
210	1047	943	1092	1071
211	1046	943	1091	1071
212	1046	942	1091	1071
213	1046	942	1091	1071
214	1045	942	1091	1071
215	1044	941	1091	1071
216	1044	941	1090	1071
217	1044	941	1090	1070
218	1043	940	1090	1069
219	1043	940	1089	1069
220	1043	939	1089	1069
221	1042	939	1089	1069
222	1042	939	1089	1068
223	1041	939	1089	1068
224	1041	939	1089	1068
225	1041	939	1089	1067
226	1041	938	1089	1066
227	1041	938	1088	1066
228	1040	937	1088	1066
229	1039	937	1088	1065
230	1039	937	1088	1065
231	1039	937	1087	1065
232	1038	936	1087	1065
233	1038	936	1087	1065
234	1038	936	1087	1065
235	1038	936	1087	1064
236	1037	935	1087	1063
237	1037	935	1087	1062
238	1037	935	1086	1062
239	1037	935	1086	1061
240	1037	934	1086	1060
241	1036	934	1085	1060
242	1036	934	1085	1060
243	1036	933	1085	1060
244	1035	933	1084	1059
245	1035	933	1084	1059
246	1035	933	1083	1059
247	1035	933	1083	1059
248	1034	932	1083	1059
249	1034	932	1083	1058
250	1034	932	1083	1058
251	1034	932	1083	1058
252	1033	932	1082	1058
253	1033	932	1082	1058
254	1032	931	1082	1057
255	1032	931	1082	1057
256	1032	930	1082	1057
257	1032	930	1081	1057
258	1032	930	1081	1056
259	1031	930	1080	1056
260	1031	929	1079	1056
261	1031	929	1079	1055
262	1030	928	1078	1055
263	1030	928	1077	1055
264	1029	928	1077	1055
265	1029	928	1077	1055
266	1029	928	1077	1055
267	1029	927	1077	1055
268	1029	927	1076	1055
269	1028	927	1076	1055
270	1028	926	1076	1054
271	1028	926	1076	1053
272	1028	926	1076	1053
273	1027	926	1075	1052
274	1027	924	1075	1052
275	1027	924	1075	1052
276	1027	924	1074	1052
277	1027	924	1074	1052
278	1025	923	1074	1052
279	1024	923	1074	1052
280	1024	922	1074	1051
281	1024	922	1073	1051
282	1024	921	1073	1050
283	1023	921	1073	1050
284	1023	921	1073	1050
285	1022	921	1073	1049
286	1022	920	1073	1049
287	1022	919	1073	1049
288	1022	919	1073	1049
289	1022	918	1073	1048
290	1022	918	1072	1048
291	1021	918	1072	1048
292	1021	918	1072	1047
293	1021	917	1071	1047
294	1021	917	1071	1047
295	1021	917	1071	1047
296	1021	917	1071	1047
297	1020	916	1070	1047
298	1020	915	1070	1046
299	1020	915	1070	1046
300	1020	914	1069	1045
301	1020	914	1069	1045
302	1020	913	1069	1045
303	1019	913	1069	1045
304	1019	913	1069	1045
305	1019	912	1069	1045
306	1019	912	1069	1045
307	1019	912	1069	1045
308	1019	912	1068	1044
309	1019	912	1068	1044
310	1018	912	1068	1044
311	1018	911	1067	1044
312	1018	910	1067	1044
313	1018	910	1067	1044
314	1018	909	1067	1044
315	1017	908	1067	1044
316	1016	908	1066	1043
317	1016	908	1066	1043
318	1016	908	1066	1043
319	1015	906	1065	1042
320	1015	906	1065	1042
321	1014	906	1065	1042
322	1014	905	1065	1042
323	1013	905	1065	1042
324	1013	904	1065	1041
325	1013	903	1065	1041
326	1013	903	1064	1041
327	1013	902	1064	1040
328	1013	902	1064	1040
329	1012	901	1063	1040
330	1012	901	1063	1040
331	1011	901	1062	1040
332	1010	901	1061	1039
333	1010	901	1061	1039
334	1010	901	1061	1039
335	1010	901	1061	1039
336	1010	900	1061	1038
337	1009	900	1060	1038
338	1009	900	1059	1038
339	1009	899	1059	1038
340	1009	899	1059	1037
341	1009	899	1059	1037
342	1008	899	1058	1036
343	1008	898	1058	1036
344	1008	898	1058	1036
345	1008	898	1057	1036
346	1008	898	1057	1036
347	1008	898	1057	1036
348	1008	897	1057	1036
349	1007	897	1057	1035
350	1007	897	1057	1035
351	1007	897	1057	1034
352	1007	896	1057	1033
353	1006	896	1057	1033
354	1006	896	1056	1033
355	1006	896	1056	1032
356	1006	896	1056	1031
357	1006	896	1055	1031
358	1005	895	1055	1031
359	1005	895	1055	1030
360	1005	895	1055	1030
361	1004	895	1055	1029
362	1004	895	1054	1029
363	1004	894	1053	1029
364	1004	894	1053	1029
365	1004	894	1053	1029
366	1003	893	1053	1029
367	1003	893	1052	1029
368	1003	893	1052	1028
369	1003	893	1052	1027
370	1002	893	1052	1027
371	1002	893	1052	1026
372	1001	893	1051	1026
373	1001	893	1051	1026
374	1001	893	1051	1026
375	1000	893	1051	1025
376	1000	892	1051	1025
377	1000	892	1050	1024
378	1000	891	1050	1024
379	1000	891	1050	1024
380	999	891	1050	1024
381	999	890	1050	1023
382	999	890	1050	1021
383	999	890	1049	1021
384	998	890	1049	1021
385	998	890	1049	1020
386	998	889	1049	1020
387	997	889	1048	1020
388	997	888	1048	1019
389	997	888	1048	1019
390	997	888	1048	1019
391	997	888	1047	1019
392	996	887	1047	1019
393	995	887	1047	1019
394	995	887	1047	1018
395	995	886	1047	1018
396	995	886	1047	1017
397	995	886	1047	1017
398	995	885	1047	1017
399	995	885	1046	1017
400	994	884	1046	1017
401	994	884	1046	1017
402	993	884	1046	1016
403	993	883	1045	1015
404	993	883	1044	1015
405	993	883	1044	1015
406	993	883	1044	1014
407	992	883	1043	1014
408	992	882	1043	1013
409	992	882	1043	1013
410	991	882	1043	1013
411	991	881	1042	1013
412	991	881	1042	1013
413	991	881	1042	1012
414	991	881	1042	1012
415	991	881	1041	1011
416	990	880	1041	1011
417	990	880	1041	1011
418	989	880	1041	1011
419	989	880	1041	1010
420	989	879	1041	1010
421	989	879	1040	1010
422	989	879	1040	1010
423	989	879	1040	1010
424	989	879	1040	1010
425	989	878	1040	1009
426	989	878	1040	1009
427	988	878	1040	1009
428	988	878	1040	1009
429	988	877	1039	1008
430	988	877	1039	1008
431	987	877	1039	1008
432	987	876	1039	1008
433	987	876	1039	1008
434	986	876	1039	1007
435	986	876	1039	1007
436	986	876	1038	1007
437	986	876	1038	1007
438	986	876	1038	1007
439	986	876	1038	1006
440	986	875	1038	1006
441	985	875	1038	1006
442	985	874	1038	1006
443	985	874	1037	1006
444	985	874	1037	1006
445	984	874	1037	1005
446	984	874	1037	1005
447	984	874	1037	1005
448	984	873	1037	1005
449	984	873	1036	1005
450	983	873	1036	1005
451	983	872	1036	1004
452	983	872	1035	1004
453	983	872	1035	1004
454	983	871	1035	1004
455	982	871	1035	1003
456	982	871	1035	1003
457	982	870	1035	1003
458	981	870	1035	1003
459	981	870	1034	1003
460	981	869	1034	1003
461	981	869	1034	1003
462	981	869	1034	1003
463	981	869	1034	1003
464	981	869	1034	1003
465	980	869	1034	1003
466	980	868	1033	1003
467	979	868	1033	1003
468	979	868	1033	1002
469	979	868	1033	1002
470	979	868	1033	1002
471	979	867	1033	1002
472	978	867	1032	1002
473	978	867	1032	1001
474	978	867	1032	1001
475	978	867	1032	1001
476	978	867	1032	1000
477	978	866	1032	1000
478	977	866	1032	1000
479	977	866	1031	1000
480	977	866	1031	1000
481	977	866	1031	1000
482	977	865	1031	1000
483	977	865	1030	1000
484	976	865	1030	1000
485	976	865	1030	999
486	975	865	1030	999
487	975	864	1030	999
488	975	864	1030	999
489	975	864	1028	999
490	974	864	1028	999
491	973	864	1028	999
492	973	863	1028	999
493	973	863	1028	998
494	973	863	1028	998
495	972	863	1028	998
496	972	863	1028	998
497	972	862	1027	998
498	971	862	1027	997
499	971	862	1027	997
500	970	862	1027	997
501	970	861	1027	997
502	970	861	1026	997
503	970	861	1026	996
504	969	861	1026	996
505	969	861	1026	996
506	969	860	1026	996
507	968	860	1026	996
508	968	860	1025	996
509	967	860	1025	995
510	967	860	1025	995
