Year	TWh
1965	351.95869
1966	353.99394
1967	368.33373
1968	388.6746
1969	400.02548
1970	417.91242
1971	449.601981532154
1972	463.850658990073
1973	496.884195770393
1974	513.297082209754
1975	546.814084665515
1976	570.681494920155
1977	584.945416361674
1978	578.941379922312
1979	598.283339835994
1980	641.370150399382
1981	746.713525500348
1982	803.465437826108
1983	814.223693848482
1984	889.561043624522
1985	908.607037284738
1986	925.381897456062
1987	939.821642775588
1988	1034.38612429938
1989	987.679225474079
1990	1004.68172582779
1991	996.796520438638
1992	959.678501541576
1993	985.725082990847
1994	1048.56178897556
1995	1105.05715619888
1996	1163.31141105939
1997	1201.18407090917
1998	1199.46866453674
1999	1184.23258239747
2000	1177.03880597078
2001	1166.18668003972
2002	1205.99440913846
2003	1272.48121331453
2004	1341.21704973999
2005	1338.91172216462
2006	1359.54405520929
2007	1427.97292668342
2008	1504.35770873178
2009	1437.61954335521
2010	1455.08957297852
2011	1431.01287748735
2012	1425.32114184405
2013	1423.58831765467
	
	
