Year	MWh
1980	27.3345482027045
1981	28.7149920715934
1982	29.7214596708981
1983	29.0590369927985
1984	30.496272173632
1985	30.0825261598488
1986	30.2048305787812
1987	29.9077620193864
1988	30.1154995859345
1989	27.645013040709
1990	26.8376256885446
1991	27.4150899941619
1992	27.500235932129
1993	26.304476659422
1994	28.7299357654527
1995	28.523053966429
1996	28.5254776641779
1997	30.8048115347066
1998	28.9944470596812
1999	29.3769722123773
2000	29.8099524804846
2001	29.8823586190388
2002	28.8497080503403
2003	30.6872607285296
2004	32.4959957284058
2005	31.6065953680126
2006	32.3339977637526
2007	32.9551794808818
2008	35.2686297546692
2009	33.7335996884874
2010	33.8489026395575
2011	33.8183353269565
