time	Winter	Summer	Load_base	Load_shaped1	Load_shaped2	
0	27.300	25.900	100	50	0	
15	26.925	25.575	100	50	0	
30	26.550	25.200	100	50	0	
45	26.175	24.825	100	50	0	
60	25.800	24.600	100	50	0	
75	25.675	24.525	100	50	0	
90	25.550	24.450	100	50	0	
105	25.425	24.375	100	50	0	
120	25.300	24.300	100	50	0	
135	25.225	24.250	100	50	0	
150	25.150	24.200	100	50	0	
165	25.075	24.150	100	50	0	
180	25.000	24.100	100	50	0	
195	25.000	24.075	100	50	0	
210	25.000	24.050	100	50	0	
225	25.000	24.025	100	50	0	
240	25.000	24.000	100	50	0	
255	25.075	24.050	100	50	0	
270	25.150	24.100	100	50	0	
285	25.225	24.150	100	50	0	
300	25.300	24.200	100	50	0	
315	25.425	24.400	100	50	0	
330	25.550	24.600	100	50	0	
345	25.675	24.800	100	50	0	
360	25.800	25.000	100	50	0	
375	26.350	25.600	100	63	25	
390	26.900	26.200	100	75	50	
405	27.450	26.800	100	88	75	
420	28.000	27.400	100	100	100	
435	28.750	27.975	100	100	100	
450	29.500	28.550	100	100	100	
465	30.250	29.125	100	100	100	
480	31.000	29.700	100	100	100	
495	31.450	29.800	100	100	100	
510	31.900	29.900	100	100	100	
525	32.350	30.000	100	100	100	
540	32.800	30.100	100	100	100	
555	33.125	30.250	100	100	100	
570	33.450	30.400	100	100	100	
585	33.775	30.550	100	100	100	
600	34.100	30.700	100	100	100	
615	34.075	30.713	100	100	100	
630	34.050	30.725	100	100	100	
645	34.025	30.738	100	100	100	
660	34.000	30.750	100	100	100	
675	34.025	30.763	100	100	100	
690	34.050	30.775	100	100	100	
705	34.075	30.788	100	100	100	
720	34.100	30.800	100	100	100	
735	34.025	30.850	100	100	100	
750	33.950	30.900	100	100	100	
765	33.875	30.950	100	100	100	
780	33.800	31.000	100	100	100	
795	33.600	30.950	100	100	100	
810	33.400	30.900	100	100	100	
825	33.200	30.850	100	100	100	
840	33.000	30.800	100	100	100	
855	32.825	30.725	100	100	100	
870	32.650	30.650	100	100	100	
885	32.475	30.575	100	100	100	
900	32.300	30.500	100	100	100	
915	32.225	30.600	100	100	100	
930	32.150	30.700	100	100	100	
945	32.075	30.800	100	100	100	
960	32.000	30.900	100	100	100	
975	32.050	30.925	100	100	100	
990	32.100	30.950	100	100	100	
1005	32.150	30.975	100	100	100	
1020	32.200	31.000	100	100	100	
1035	32.325	30.950	100	100	100	
1050	32.450	30.900	100	100	100	
1065	32.575	30.850	100	100	100	
1080	32.700	30.800	100	100	100	
1095	33.025	30.775	100	100	100	
1110	33.350	30.750	100	100	100	
1125	33.675	30.725	100	100	100	
1140	34.000	30.700	100	100	100	
1155	34.550	30.775	100	100	100	
1170	35.100	30.850	100	100	100	
1185	35.650	30.925	100	100	100	
1200	36.200	31.000	100	100	100	
1215	35.975	31.325	100	100	100	
1230	35.750	31.650	100	100	100	
1245	35.525	31.975	100	100	100	
1260	35.300	32.300	100	100	100	
1275	34.750	31.900	100	100	100	
1290	34.200	31.500	100	100	100	
1305	33.650	31.100	100	100	100	
1320	33.100	30.700	100	100	100	
1335	32.400	29.775	100	88	75	
1350	31.700	28.850	100	75	50	
1365	31.000	27.925	100	63	25	
1380	30.300	27.000	100	50	0	
1395	29.550	26.725	100	50	0	
1410	28.800	26.450	100	50	0	
1425	28.050	26.175	100	50	0	
1440	27.300	25.900	100	50	0	
